mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id
11	11	43	1.0	3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	101
11	11	41	1.0	1/4	1/4	Chord	4/4	4	1	1/4			1/4	1	102
11	11	42	1.0	1/2	1/2	Chord	4/4	4	1	1/4			1/4	1	103
11	11	43	1.0	3/4	3/4	Chord	4/4	4	1	1/4			1/4	1	104
11	11	40	1.0	0	0	Chord	4/4	5	1	1/4			1/4	1	105
11	11	41	1.0	1/4	1/4	Chord	4/4	5	1	1/4			1/4	1	106
11	11	42	1.0	1/2	1/2	Chord	4/4	5	1	1/4			1/4	1	107
11	11	43	1.0	3/4	3/4	Chord	4/4	5	1	1/4			1/4	1	108
12	12	44	1.0	0	0	Chord	4/4	3	1	1/4			1/4	1	109
12	12	45	1.0	1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	110
12	12	46	0.5	1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	111
12	12	93/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	112
12	12	47	1.0	3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	113
12	12	44	1.0	0	0	Chord	4/4	4	1	1/4			1/4	1	114
12	12	45	1.0	1/4	1/4	Chord	4/4	4	1	1/4			1/4	1	115
12	12	46	0.5	1/2	1/2	Chord	4/4	4	1	1/8			1/8	1	116
12	12	93/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8			1/8	1	117
12	12	47	1.0	3/4	3/4	Chord	4/4	4	1	1/4			1/4	1	118
12	12	44	1.0	0	0	Chord	4/4	5	1	1/4			1/4	1	119
12	12	45	1.0	1/4	1/4	Chord	4/4	5	1	1/4			1/4	1	120
12	12	46	0.5	1/2	1/2	Chord	4/4	5	1	1/8			1/8	1	121
12	12	93/2	0.5	5/8	5/8	Chord	4/4	5	1	1/8			1/8	1	122
12	12	47	1.0	3/4	3/4	Chord	4/4	5	1	1/4			1/4	1	123
13	13	48	1.5	0	0	Chord	4/4	3	1	3/8			1/4	3/2	124
13	13	99/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	125
13	13	50	2.0	1/2	1/2	Chord	4/4	3	1	1/2			1/2	1	126
13	13	48	1.0	0	0	Chord	4/4	4	1	1/4			1/4	1	127
13	13	49	1.0	1/4	1/4	Chord	4/4	4	1	1/4			1/4	1	128
13	13	50	2.0	1/2	1/2	Chord	4/4	4	1	1/2			1/2	1	129
13	13	48	1.0	0	0	Chord	4/4	5	1	1/4			1/4	1	130
13	13	49	1.0	1/4	1/4	Chord	4/4	5	1	1/4			1/4	1	131
13	13	50	2.0	1/2	1/2	Chord	4/4	5	1	1/2			1/2	1	132
14	14	52	1.0	0	0	Chord	4/4	3	1	1/4			1/4	1	133
14	14	53	1.0	1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	134
14	14	54	1.0	1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	135
14	14	55	1.0	3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	136
14	14	52	1.0	0	0	Chord	4/4	4	1	1/4			1/4	1	137
14	14	53	1.0	1/4	1/4	Chord	4/4	4	1	1/4			1/4	1	138
14	14	54	1.0	1/2	1/2	Chord	4/4	4	1	1/4			1/4	1	139
14	14	55	1.0	3/4	3/4	Chord	4/4	4	1	1/4			1/4	1	140
14	14	52	1.0	0	0	Chord	4/4	5	1	1/4			1/4	1	141
14	14	53	1.0	1/4	1/4	Chord	4/4	5	1	1/4			1/4	1	142
14	14	54	1.0	1/2	1/2	Chord	4/4	5	1	1/4			1/4	1	143
14	14	55	1.0	3/4	3/4	Chord	4/4	5	1	1/4			1/4	1	144
15	15	56	1.0	0	0	Chord	4/4	3	1	1/4			1/4	1	145
15	15	57	1.0	1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	146
15	15	58	0.5	1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	147
15	15	117/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	148
15	15	59	1.0	3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	149
15	15	56	1.0	0	0	Chord	4/4	4	1	1/4			1/4	1	150
15	15	57	1.0	1/4	1/4	Chord	4/4	4	1	1/4			1/4	1	151
15	15	58	0.5	1/2	1/2	Chord	4/4	4	1	1/8			1/8	1	152
15	15	117/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8			1/8	1	153
15	15	59	1.0	3/4	3/4	Chord	4/4	4	1	1/4			1/4	1	154
15	15	56	1.0	0	0	Chord	4/4	5	1	1/4			1/4	1	155
15	15	57	1.0	1/4	1/4	Chord	4/4	5	1	1/4			1/4	1	156
15	15	58	0.5	1/2	1/2	Chord	4/4	5	1	1/8			1/8	1	157
15	15	117/2	0.5	5/8	5/8	Chord	4/4	5	1	1/8			1/8	1	158
15	15	59	1.0	3/4	3/4	Chord	4/4	5	1	1/4			1/4	1	159
16	16	60	1.0	0	0	Chord	4/4	3	1	1/4			1/4	1	160
16	16	61	1.0	1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	161
16	16	62	2.0	1/2	1/2	Chord	4/4	3	1	1/2			1/2	1	162
16	16	60	1.0	0	0	Chord	4/4	4	1	1/4			1/4	1	163
16	16	61	1.0	1/4	1/4	Chord	4/4	4	1	1/4			1/4	1	164
16	16	62	2.0	1/2	1/2	Chord	4/4	4	1	1/2			1/2	1	165
16	16	60	1.0	0	0	Chord	4/4	5	1	1/4			1/4	1	166
16	16	61	1.0	1/4	1/4	Chord	4/4	5	1	1/4			1/4	1	167
16	16	62	2.0	1/2	1/2	Chord	4/4	5	1	1/2			1/2	1	168
17	17	64	1.0	0	0	Chord	4/4	3	1	1/4			1/4	1	169
17	17	65	1.0	1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	170
17	17	66	1.0	1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	171
17	17	67	1.0	3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	172
17	17	64	1.0	0	0	Chord	4/4	4	1	1/4			1/4	1	173
17	17	65	1.0	1/4	1/4	Chord	4/4	4	1	1/4			1/4	1	174
17	17	66	1.0	1/2	1/2	Chord	4/4	4	1	1/4			1/4	1	175
17	17	67	1.0	3/4	3/4	Chord	4/4	4	1	1/4			1/4	1	176
17	17	64	1.0	0	0	Chord	4/4	5	1	1/4			1/4	1	177
17	17	65	1.0	1/4	1/4	Chord	4/4	5	1	1/4			1/4	1	178
17	17	66	1.0	1/2	1/2	Chord	4/4	5	1	1/4			1/4	1	179
17	17	67	1.0	3/4	3/4	Chord	4/4	5	1	1/4			1/4	1	180
18	18	68	1.5	0	0	Chord	4/4	3	1	3/8			1/4	3/2	181
18	18	139/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	182
18	18	70	1.0	1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	183
18	18	71	1.0	3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	184
18	18	68	1.5	0	0	Chord	4/4	4	1	3/8			1/4	3/2	185
18	18	139/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	186
18	18	70	1.5	1/2	1/2	Chord	4/4	4	1	3/8			1/4	3/2	187
18	18	143/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	188
18	18	68	1.5	0	0	Chord	4/4	5	1	3/8			1/4	3/2	189
18	18	139/2	0.5	3/8	3/8	Chord	4/4	5	1	1/8			1/8	1	190
18	18	70	1.0	1/2	1/2	Chord	4/4	5	1	1/4			1/4	1	191
18	18	71	1.0	3/4	3/4	Chord	4/4	5	1	1/4			1/4	1	192
19	19	72	1.0	0	0	Chord	4/4	3	1	1/4			1/4	1	193
19	19	73	1.0	1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	194
19	19	74	2.0	1/2	1/2	Chord	4/4	3	1	1/2			1/2	1	195
19	19	72	1.0	0	0	Chord	4/4	4	1	1/4			1/4	1	196
19	19	73	1.0	1/4	1/4	Chord	4/4	4	1	1/4			1/4	1	197
19	19	74	2.0	1/2	1/2	Chord	4/4	4	1	1/2			1/2	1	198
19	19	72	1.0	0	0	Chord	4/4	5	1	1/4			1/4	1	199
19	19	73	1.0	1/4	1/4	Chord	4/4	5	1	1/4			1/4	1	200
19	19	74	2.0	1/2	1/2	Chord	4/4	5	1	1/2			1/2	1	201
20	20	76	1.0	0	0	Chord	4/4	3	1	1/4			1/4	1	202
20	20	77	1.0	1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	203
20	20	78	1.5	1/2	1/2	Chord	4/4	3	1	3/8			1/4	3/2	204
20	20	159/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	205
20	20	76	1.0	0	0	Chord	4/4	4	1	1/4			1/4	1	206
20	20	77	1.0	1/4	1/4	Chord	4/4	4	1	1/4			1/4	1	207
20	20	78	1.5	1/2	1/2	Chord	4/4	4	1	3/8			1/4	3/2	208
20	20	159/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	209
20	20	76	1.0	0	0	Chord	4/4	5	1	1/4			1/4	1	210
20	20	77	1.0	1/4	1/4	Chord	4/4	5	1	1/4			1/4	1	211
20	20	78	1.5	1/2	1/2	Chord	4/4	5	1	3/8			1/4	3/2	212
20	20	159/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8			1/8	1	213
21	21	80	1.0	0	0	Chord	4/4	3	1	1/4			1/4	1	214
21	21	81	1.0	1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	215
21	21	82	2.0	1/2	1/2	Chord	4/4	3	1	1/2			1/2	1	216
21	21	80	1.0	0	0	Chord	4/4	4	1	1/4			1/4	1	217
21	21	81	1.0	1/4	1/4	Chord	4/4	4	1	1/4			1/4	1	218
21	21	82	2.0	1/2	1/2	Chord	4/4	4	1	1/2			1/2	1	219
21	21	80	1.0	0	0	Chord	4/4	5	1	1/4			1/4	1	220
21	21	81	1.0	1/4	1/4	Chord	4/4	5	1	1/4			1/4	1	221
21	21	82	2.0	1/2	1/2	Chord	4/4	5	1	1/2			1/2	1	222
22	22	169/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	223
22	22	85	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	224
22	22	171/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	225
22	22	86	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	226
22	22	173/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	227
22	22	87	1.0	3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	228
22	22	84	4.0	0	0	Chord	4/4	3	1	1			1	1	229
22	22	84	4.0	0	0	Chord	4/4	4	1	1			1	1	230
22	22	84	4.0	0	0	Chord	4/4	5	1	1			1	1	231
23	23	88	4.0	0	0	Chord	4/4	1	1	1			1	1	232
23	23	88	1.0	0	0	Chord	4/4	5	1	1/4			1/4	1	233
23	23	89	1.0	1/4	1/4	Chord	4/4	5	1	1/4			1/4	1	234
23	23	90	1.0	1/2	1/2	Chord	4/4	5	1	1/4			1/4	1	235
23	23	91	0.5	3/4	3/4	Chord	4/4	5	1	1/8			1/8	1	236
23	23	183/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8			1/8	1	237
24	24	92	3.0	0	0	Chord	4/4	1	1	3/4			1/2	3/2	238
24	24	95	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	239
24	24	191/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	240
24	24	92	2.0	0	0	Chord	4/4	5	1	1/2			1/2	1	241
24	24	94	2.0	1/2	1/2	Chord	4/4	5	1	1/2			1/2	1	242
25	25	96	2.0	0	0	Chord	4/4	1	1	1/2			1/2	1	243
25	25	98	2.0	1/2	1/2	Chord	4/4	1	1	1/2			1/2	1	244
25	25	99	1.0	3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	245
25	25	99	1.0	3/4	3/4	Chord	4/4	4	1	1/4			1/4	1	246
25	25	96	2.0	0	0	Chord	4/4	5	1	1/2			1/2	1	247
25	25	98	1.0	1/2	1/2	Chord	4/4	5	1	1/4			1/4	1	248
25	25	99	1.0	3/4	3/4	Chord	4/4	5	1	1/4			1/4	1	249
26	26	103	1.0	3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	250
26	26	100	2.0	0	0	Chord	4/4	3	1	1/2			1/2	1	251
26	26	102	2.0	1/2	1/2	Chord	4/4	3	1	1/2			1/2	1	252
26	26	100	2.0	0	0	Chord	4/4	4	1	1/2			1/2	1	253
26	26	102	2.0	1/2	1/2	Chord	4/4	4	1	1/2			1/2	1	254
26	26	100	2.0	0	0	Chord	4/4	5	1	1/2			1/2	1	255
26	26	102	2.0	1/2	1/2	Chord	4/4	5	1	1/2			1/2	1	256
27	27	104	3.0	0	0	Chord	4/4	1	1	3/4			1/2	3/2	257
27	27	107	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	258
27	27	215/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	259
27	27	104	1.0	0	0	Chord	4/4	5	1	1/4			1/4	1	260
27	27	105	1.0	1/4	1/4	Chord	4/4	5	1	1/4			1/4	1	261
27	27	106	1.0	1/2	1/2	Chord	4/4	5	1	1/4			1/4	1	262
27	27	107	1.0	3/4	3/4	Chord	4/4	5	1	1/4			1/4	1	263
28	28	108	2.0	0	0	Chord	4/4	1	1	1/2			1/2	1	264
28	28	110	2.0	1/2	1/2	Chord	4/4	1	1	1/2			1/2	1	265
28	28	110	0.5	1/2	1/2	Chord	4/4	4	1	1/8			1/8	1	266
28	28	221/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8			1/8	1	267
28	28	111	0.5	3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	268
28	28	223/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	269
28	28	108	2.0	0	0	Chord	4/4	5	1	1/2			1/2	1	270
28	28	110	0.5	1/2	1/2	Chord	4/4	5	1	1/8			1/8	1	271
28	28	221/2	0.5	5/8	5/8	Chord	4/4	5	1	1/8			1/8	1	272
28	28	111	0.5	3/4	3/4	Chord	4/4	5	1	1/8			1/8	1	273
28	28	223/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8			1/8	1	274
29	29	112	0.5	0	0	Chord	4/4	4	1	1/8			1/8	1	275
29	29	225/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	276
29	29	113	0.5	1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	277
29	29	227/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	278
29	29	114	1.0	1/2	1/2	Chord	4/4	4	1	1/4			1/4	1	279
29	29	115	1.0	3/4	3/4	Chord	4/4	4	1	1/4			1/4	1	280
29	29	112	0.5	0	0	Chord	4/4	5	1	1/8			1/8	1	281
29	29	225/2	0.5	1/8	1/8	Chord	4/4	5	1	1/8			1/8	1	282
29	29	113	0.5	1/4	1/4	Chord	4/4	5	1	1/8			1/8	1	283
29	29	227/2	0.5	3/8	3/8	Chord	4/4	5	1	1/8			1/8	1	284
29	29	114	1.0	1/2	1/2	Chord	4/4	5	1	1/4			1/4	1	285
29	29	115	1.0	3/4	3/4	Chord	4/4	5	1	1/4			1/4	1	286
30	30	116	0.5	0	0	Chord	4/4	3	1	1/8			1/8	1	287
30	30	233/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	288
30	30	117	0.5	1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	289
30	30	235/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	290
30	30	118	0.5	1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	291
30	30	237/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	292
30	30	119	0.5	3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	293
30	30	239/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	294
30	30	116	0.5	0	0	Chord	4/4	4	1	1/8			1/8	1	295
30	30	233/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	296
30	30	117	0.5	1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	297
30	30	235/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	298
30	30	118	0.5	1/2	1/2	Chord	4/4	4	1	1/8			1/8	1	299
30	30	237/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8			1/8	1	300
30	30	119	0.5	3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	301
30	30	239/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	302
30	30	116	0.5	0	0	Chord	4/4	5	1	1/8			1/8	1	303
30	30	233/2	0.5	1/8	1/8	Chord	4/4	5	1	1/8			1/8	1	304
30	30	117	0.5	1/4	1/4	Chord	4/4	5	1	1/8			1/8	1	305
30	30	235/2	0.5	3/8	3/8	Chord	4/4	5	1	1/8			1/8	1	306
30	30	118	0.5	1/2	1/2	Chord	4/4	5	1	1/8			1/8	1	307
30	30	237/2	0.5	5/8	5/8	Chord	4/4	5	1	1/8			1/8	1	308
30	30	119	0.5	3/4	3/4	Chord	4/4	5	1	1/8			1/8	1	309
30	30	239/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8			1/8	1	310
31	31	120	1.0	0	0	Chord	4/4	3	1	1/4			1/4	1	311
31	31	121	1.0	1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	312
31	31	122	1.0	1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	313
31	31	123	0.5	3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	314
31	31	247/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	315
31	31	120	1.0	0	0	Chord	4/4	4	1	1/4			1/4	1	316
31	31	121	1.0	1/4	1/4	Chord	4/4	4	1	1/4			1/4	1	317
31	31	122	1.0	1/2	1/2	Chord	4/4	4	1	1/4			1/4	1	318
31	31	123	0.5	3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	319
31	31	247/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	320
31	31	120	1.0	0	0	Chord	4/4	5	1	1/4			1/4	1	321
31	31	121	1.0	1/4	1/4	Chord	4/4	5	1	1/4			1/4	1	322
31	31	122	1.0	1/2	1/2	Chord	4/4	5	1	1/4			1/4	1	323
31	31	123	0.5	3/4	3/4	Chord	4/4	5	1	1/8			1/8	1	324
31	31	247/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8			1/8	1	325
32	32	124	1.5	0	0	Chord	4/4	3	1	3/8			1/4	3/2	326
32	32	251/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	327
32	32	126	1.0	1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	328
32	32	127	1.0	3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	329
32	32	124	1.5	0	0	Chord	4/4	4	1	3/8			1/4	3/2	330
32	32	251/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	331
32	32	126	1.0	1/2	1/2	Chord	4/4	4	1	1/4			1/4	1	332
32	32	127	1.0	3/4	3/4	Chord	4/4	4	1	1/4			1/4	1	333
